ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
    -2.4    -1.8        0.09643     0.01128231
    -1.8    -1.2        0.17996      0.0125972
    -1.2    -0.6        0.25863     0.01991451
    -0.6       0        0.30038      0.0201555
       0     0.6        0.29542     0.01943864
     0.6     1.2        0.24523      0.0189808
     1.2     1.8        0.17046     0.01235835
     1.8     2.4       0.090055     0.01089665
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/leptonJet_mass
AidaPath=/REF/CMS_TOP_12_028/leptonJet_mass
XLabel=Lepton+b jet system invariant mass $(GeV/c^2)$
YLabel=$1/\sigma d\sigma/dm^{\ell b } (1/GeV/c^2)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
       0      70      0.0025999   0.0002113719
      70     116      0.0077298   0.0004954802
     116     150      0.0069203   0.0004193702
     150     400     0.00084816   0.0001017792
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/top1_pT
AidaPath=/REF/CMS_TOP_12_028/top1_pT
XLabel=Leading top quark transverse momentum p_T (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{t~{Lead.t}} (1/GeV/c)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
       0      80      0.0036055   0.0003392776
      80     130      0.0064135   0.0002668016
     130     200      0.0037494   0.0001908445
     200     300      0.0011372   5.492676e-05
     300     400      0.0002357     1.8856e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/top2_pT
AidaPath=/REF/CMS_TOP_12_028/top2_pT
XLabel=Next leading top quark transverse momentum (GeV/c)
YLabel=$1/\sigma d\sigma/dp_T^{t~{NLead.t}} (1/GeV/c)$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
       0      80      0.0066235   0.0002768623
      80     130      0.0051209   0.0004275951
     130     200      0.0023295   0.0001437302
     200     300     0.00055461   3.571688e-05
     300     400     8.9711e-05   1.507145e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /REF/CMS_TOP_12_028/top1_rapidity
AidaPath=/REF/CMS_TOP_12_028/top1_rapidity
XLabel=Leading top quark rapidity
YLabel=$1/\sigma d\sigma/dy^{t~{Lead.t}}$
PolyMarker=*
ErrorBars=1
## Area: 1.000000e+00
## Num bins: 8
## xlow   xhigh     val     errminus  errplus
