*lumiCalc2.py -i Cert_8TeV_Run2012ABCD_Golden_JSON.txt overview >& Cert_8TeV_Run2012ABCD_Golden_JSON.log
********************************************************************************
* Wed Feb  6 14:51:04 2013 UTC
* lumitype: HF , datatag: v10 , normtag: HFV2c , worktag: V04-01-09
* 
* by:
* /afs/cern.ch/work/y/youngjo/8TeV/v3/CMGTools/CMSSW_5_3_3_patch3/bin/slc5_amd64_gcc462/lumiCalc2.py
* 
* update: V04-02-01
********************************************************************************
 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
|             |              |               |           [353-446], |               |
|             |              |               | [448-483], [485-498] |               |
| 195656:2710 |          362 |  28.909 (/pb) |              [1-362] |  28.684 (/pb) |
| 195658:2710 |          382 |  24.812 (/pb) |    [1-37], [40-362], |  24.532 (/pb) |
|             |              |               | [364-382], [384-386] |               |
| 195749:2711 |          128 |  17.853 (/pb) |      [1-8], [10-33], |  17.046 (/pb) |
|             |              |               |             [36-131] |               |
| 195757:2711 |          201 |  25.155 (/pb) |    [1-82], [85-115], |  23.901 (/pb) |
|             |              |               | [118-161], [163-206] |               |
| 195758:2711 |           18 |   2.112 (/pb) |               [1-18] |   2.026 (/pb) |
| 195774:2712 |          815 |  97.333 (/pb) |    [1-13], [16-137], |  95.474 (/pb) |
|             |              |               |           [139-151], |               |
|             |              |               |           [154-162], |               |
|             |              |               |           [164-256], |               |
|             |              |               |           [258-276], |               |
|             |              |               |           [279-362], |               |
|             |              |               |           [365-466], |               |
|             |              |               |           [469-618], |               |
|             |              |               | [620-649], [651-830] |               |
| 195775:2712 |          166 |  14.007 (/pb) |    [1-57], [60-100], |  13.789 (/pb) |
|             |              |               |            [103-170] |               |
| 195776:2712 |          469 |  34.423 (/pb) |    [1-63], [66-283], |  34.139 (/pb) |
|             |              |               |           [286-337], |               |
|             |              |               |           [340-399], |               |
|             |              |               | [401-409], [411-477] |               |
| 195841:2713 |           17 |   1.724 (/pb) |              [74-90] |   1.575 (/pb) |
| 195868:2714 |          202 |  26.468 (/pb) |    [1-88], [90-107], |  25.758 (/pb) |
|             |              |               |            [110-205] |               |
| 195915:2717 |          838 |  95.840 (/pb) |  [1-109], [111-275], |  94.350 (/pb) |
|             |              |               |           [278-390], |               |
|             |              |               |           [393-417], |               |
|             |              |               |           [419-429], |               |
|             |              |               |           [432-505], |               |
|             |              |               |           [507-747], |               |
|             |              |               |           [749-785], |               |
|             |              |               | [787-828], [830-850] |               |
| 195916:2717 |          208 |  17.992 (/pb) |     [1-16], [19-68], |  17.839 (/pb) |
|             |              |               |             [71-212] |               |
| 195917:2717 |            4 | 329.386 (/nb) |                [1-4] | 325.652 (/nb) |
| 195918:2717 |           61 |   4.926 (/pb) |     [1-44], [46-46], |   4.871 (/pb) |
|             |              |               |              [49-64] |               |
| 195919:2717 |           15 |   1.184 (/pb) |               [1-15] |   1.175 (/pb) |
| 195923:2717 |           14 |   1.092 (/pb) |               [1-14] |   1.084 (/pb) |
| 195925:2717 |           12 | 926.247 (/nb) |               [1-12] | 918.250 (/nb) |
| 195926:2717 |           32 |   2.437 (/pb) |       [1-1], [3-19], |   2.421 (/pb) |
|             |              |               |              [21-34] |               |
| 195929:2717 |           29 |   2.146 (/pb) |               [1-29] |   2.131 (/pb) |
| 195930:2717 |          590 |  38.335 (/pb) |    [1-77], [80-176], |  37.955 (/pb) |
|             |              |               | [179-526], [529-596] |               |
| 195937:2717 |          397 |  21.309 (/pb) |    [1-28], [31-186], |  21.167 (/pb) |
|             |              |               |            [188-400] |               |
| 195947:2718 |           65 |   9.330 (/pb) |     [23-62], [64-88] |   6.518 (/pb) |
| 195948:2718 |          547 |  63.755 (/pb) | [51-116], [119-144], |  62.452 (/pb) |
|             |              |               |           [147-147], |               |
|             |              |               |           [150-352], |               |
|             |              |               |           [355-369], |               |
|             |              |               |           [372-402], |               |
|             |              |               |           [404-500], |               |
|             |              |               |           [503-540], |               |
|             |              |               |           [543-565], |               |
|             |              |               | [567-602], [605-615] |               |
| 195950:2718 |         1562 | 112.428 (/pb) |    [1-71], [73-138], | 111.145 (/pb) |
|             |              |               |           [141-169], |               |
|             |              |               |           [172-332], |               |
|             |              |               |           [335-350], |               |
|             |              |               |           [353-382], |               |
|             |              |               |           [385-421], |               |
|             |              |               |           [424-450], |               |
|             |              |               |           [453-483], |               |
|             |              |               |           [485-616], |               |
|             |              |               |           [619-715], |               |
|             |              |               |           [718-787], |               |
|             |              |               |           [789-800], |               |
|             |              |               |           [803-829], |               |
|             |              |               |           [831-831], |               |
|             |              |               |           [833-1587] |               |
| 195963:2719 |            8 | 687.151 (/nb) |              [54-61] | 661.682 (/nb) |
| 195970:2720 |           41 |   5.953 (/pb) |     [44-49], [51-85] |   2.368 (/pb) |
| 196019:2723 |           15 |   2.207 (/pb) |              [54-68] |   1.907 (/pb) |
| 196027:2723 |          185 |  22.433 (/pb) |    [1-55], [58-119], |  22.038 (/pb) |
|             |              |               | [121-155], [158-190] |               |
| 196046:2724 |           29 |   4.250 (/pb) |              [12-40] |   3.975 (/pb) |
| 196047:2724 |           70 |   9.768 (/pb) |      [1-64], [70-75] |   9.140 (/pb) |
| 196048:2724 |           49 |   6.207 (/pb) |     [1-44], [46-48], |   5.952 (/pb) |
|             |              |               |              [51-52] |               |
| 196197:2726 |          499 |  64.453 (/pb) | [58-122], [125-179], |  62.891 (/pb) |
|             |              |               |           [181-311], |               |
|             |              |               | [313-516], [519-562] |               |
| 196199:2726 |          524 |  51.007 (/pb) |     [1-33], [36-83], |  50.400 (/pb) |
|             |              |               | [86-118], [121-147], |               |
|             |              |               |           [150-237], |               |
|             |              |               | [239-285], [287-534] |               |
| 196200:2726 |           68 |   5.750 (/pb) |               [1-68] |   5.701 (/pb) |
| 196202:2726 |          104 |   8.418 (/pb) |     [3-61], [64-108] |   8.332 (/pb) |
| 196203:2726 |          131 |   8.673 (/pb) |   [1-102], [107-135] |   8.615 (/pb) |
| 196218:2728 |          756 |  91.223 (/pb) | [55-199], [201-224], |  89.654 (/pb) |
|             |              |               |           [226-393], |               |
|             |              |               |           [396-494], |               |
|             |              |               |           [496-737], |               |
|             |              |               |           [739-741], |               |
|             |              |               |           [744-752], |               |
|             |              |               | [754-757], [759-820] |               |
| 196239:2728 |         1006 |  79.046 (/pb) |    [1-59], [62-154], |  78.434 (/pb) |
|             |              |               |           [157-272], |               |
|             |              |               |           [274-373], |               |
|             |              |               |           [375-432], |               |
|             |              |               |           [435-465], |               |
|             |              |               |           [468-497], |               |
|             |              |               |           [503-647], |               |
|             |              |               |           [650-706], |               |
|             |              |               |           [709-1025] |               |
| 196249:2729 |           35 |   5.191 (/pb) |     [63-77], [80-99] |   4.946 (/pb) |
| 196250:2729 |          424 |  54.318 (/pb) |      [1-2], [5-265], |  53.101 (/pb) |
|             |              |               | [267-426], [430-430] |               |
| 196252:2729 |           38 |   3.886 (/pb) |               [1-38] |   3.843 (/pb) |
| 196334:2732 |          276 |  37.578 (/pb) | [59-111], [113-123], |  36.662 (/pb) |
|             |              |               |           [126-132], |               |
|             |              |               |           [135-167], |               |
|             |              |               |           [170-193], |               |
|             |              |               |           [196-257], |               |
|             |              |               |           [259-267], |               |
|             |              |               | [270-289], [292-348] |               |
| 196349:2733 |          190 |  27.227 (/pb) |   [65-84], [86-154], |  26.472 (/pb) |
|             |              |               | [157-244], [246-258] |               |
| 196357:2733 |            4 | 451.346 (/nb) |                [1-4] | 416.039 (/nb) |
| 196359:2733 |            2 | 223.090 (/nb) |                [1-2] | 186.171 (/nb) |
| 196362:2733 |           88 |   9.389 (/pb) |               [1-88] |   9.188 (/pb) |
| 196363:2733 |           32 |   3.260 (/pb) |       [1-8], [11-34] |   3.189 (/pb) |
| 196364:2733 |         1286 |  97.855 (/pb) |    [1-93], [96-136], |  96.952 (/pb) |
|             |              |               |           [139-365], |               |
|             |              |               |           [368-380], |               |
|             |              |               |           [382-601], |               |
|             |              |               |           [603-795], |               |
|             |              |               |           [798-884], |               |
|             |              |               |          [887-1196], |               |
|             |              |               |         [1199-1200], |               |
|             |              |               |          [1203-1302] |               |
| 196437:2734 |          166 |  14.476 (/pb) |       [1-1], [3-74], |  14.356 (/pb) |
|             |              |               |             [77-169] |               |
| 196438:2734 |         1266 |  84.428 (/pb) |  [1-181], [184-699], |  83.838 (/pb) |
|             |              |               |           [701-1269] |               |
| 196452:2736 |          995 | 114.697 (/pb) | [82-112], [114-490], | 112.124 (/pb) |
|             |              |               |           [493-586], |               |
|             |              |               |           [589-618], |               |
|             |              |               |           [622-668], |               |
|             |              |               |           [671-716], |               |
|             |              |               |           [718-726], |               |
|             |              |               |           [728-956], |               |
|             |              |               |          [958-1004], |               |
|             |              |               |          [1007-1091] |               |
| 196453:2736 |         1630 | 114.388 (/pb) |    [1-74], [77-145], | 113.460 (/pb) |
|             |              |               |           [147-669], |               |
|             |              |               |           [673-714], |               |
|             |              |               |           [717-799], |               |
|             |              |               |           [802-988], |               |
|             |              |               |          [991-1178], |               |
|             |              |               |         [1180-1180], |               |
|             |              |               |         [1182-1248], |               |
|             |              |               |         [1250-1528], |               |
|             |              |               |          [1531-1647] |               |
| 196495:2737 |          158 |  21.103 (/pb) | [114-180], [182-272] |  20.630 (/pb) |
| 196509:2737 |           68 |   7.168 (/pb) |               [1-68] |   7.085 (/pb) |
| 196531:2739 |          370 |  48.597 (/pb) | [62-150], [152-253], |  47.719 (/pb) |
|             |              |               |           [256-285], |               |
|             |              |               |           [288-302], |               |
|             |              |               | [305-422], [425-440] |               |
| 198049:2797 |           55 |   1.747 (/pb) |      [1-11], [14-57] |   1.716 (/pb) |
| 198050:2797 |          154 |   4.680 (/pb) |              [2-155] |   4.610 (/pb) |
| 198063:2797 |          289 |   7.969 (/pb) |     [1-37], [40-72], |   7.884 (/pb) |
|             |              |               |  [74-124], [127-294] |               |
| 198116:2798 |           73 |   5.929 (/pb) |    [36-52], [54-55], |   5.722 (/pb) |
|             |              |               |    [58-96], [98-112] |               |
| 198207:2805 |           97 |   6.832 (/pb) |               [1-97] |   6.746 (/pb) |
| 198208:2805 |          204 |  12.808 (/pb) |    [1-92], [94-134], |  12.627 (/pb) |
|             |              |               | [137-147], [150-209] |               |
| 198210:2805 |          221 |  12.077 (/pb) |              [1-221] |  11.990 (/pb) |
| 198212:2805 |          574 |  25.502 (/pb) |              [1-574] |  25.223 (/pb) |
| 198213:2805 |          107 |   4.054 (/pb) |              [1-107] |   3.960 (/pb) |
| 198215:2805 |           12 | 436.716 (/nb) |               [1-12] | 430.333 (/nb) |
| 198230:2806 |         1358 | 100.271 (/pb) |     [1-33], [36-57], |  99.382 (/pb) |
|             |              |               | [60-235], [237-324], |               |
|             |              |               |           [326-388], |               |
|             |              |               |           [390-459], |               |
|             |              |               |           [462-625], |               |
|             |              |               |           [627-651], |               |
|             |              |               |           [653-805], |               |
|             |              |               |           [808-811], |               |
|             |              |               |           [814-948], |               |
|             |              |               |          [950-1090], |               |
|             |              |               |         [1093-1103], |               |
|             |              |               |         [1106-1332], |               |
|             |              |               |          [1335-1380] |               |
| 198249:2806 |            7 | 359.245 (/nb) |                [1-7] | 356.304 (/nb) |
| 198269:2807 |          199 |  25.847 (/pb) |  [3-199], [201-201], |  25.103 (/pb) |
|             |              |               |            [203-203] |               |
| 198271:2807 |          784 |  75.424 (/pb) |    [1-91], [93-170], |  74.557 (/pb) |
|             |              |               |           [173-299], |               |
|             |              |               |           [301-450], |               |
|             |              |               |           [453-513], |               |
|             |              |               |           [516-616], |               |
|             |              |               |           [619-628], |               |
|             |              |               | [631-791], [793-797] |               |
| 198272:2807 |          608 |  41.158 (/pb) |  [1-185], [188-245], |  40.697 (/pb) |
|             |              |               |           [248-314], |               |
|             |              |               |           [317-433], |               |
|             |              |               | [436-444], [454-625] |               |
| 198346:2810 |           14 | 448.635 (/nb) |              [44-57] | 390.961 (/nb) |
| 198372:2812 |           58 |   6.924 (/pb) |             [57-114] |   6.711 (/pb) |
| 198485:2816 |          167 |  21.392 (/pb) | [68-109], [112-134], |  21.098 (/pb) |
|             |              |               | [136-181], [184-239] |               |
| 198487:2816 |         1598 | 129.530 (/pb) |  [1-145], [147-514], | 128.097 (/pb) |
|             |              |               |           [517-668], |               |
|             |              |               |           [671-733], |               |
|             |              |               |           [736-757], |               |
|             |              |               |           [760-852], |               |
|             |              |               |           [854-994], |               |
|             |              |               |          [997-1434], |               |
|             |              |               |          [1437-1612] |               |
| 198522:2819 |          142 |  18.054 (/pb) |  [65-144], [147-208] |  17.703 (/pb) |
| 198941:2840 |          185 |  22.584 (/pb) |           [102-189], |  22.226 (/pb) |
|             |              |               |           [191-220], |               |
|             |              |               |           [222-241], |               |
|             |              |               | [243-249], [252-291] |               |
| 198954:2842 |          168 |  20.220 (/pb) | [108-156], [159-277] |  19.893 (/pb) |
| 198955:2842 |         1524 | 119.705 (/pb) |     [1-45], [47-50], | 118.397 (/pb) |
|             |              |               | [53-220], [223-269], |               |
|             |              |               |           [271-284], |               |
|             |              |               |           [286-338], |               |
|             |              |               |           [340-580], |               |
|             |              |               |           [583-742], |               |
|             |              |               |           [744-910], |               |
|             |              |               |           [913-946], |               |
|             |              |               |          [949-1162], |               |
|             |              |               |         [1165-1169], |               |
|             |              |               |         [1172-1182], |               |
|             |              |               |         [1185-1188], |               |
|             |              |               |         [1190-1246], |               |
|             |              |               |         [1249-1304], |               |
|             |              |               |         [1306-1467], |               |
|             |              |               |         [1470-1485], |               |
|             |              |               |          [1487-1552] |               |
| 198969:2843 |         1204 | 110.720 (/pb) |   [58-81], [84-247], | 109.507 (/pb) |
|             |              |               |           [249-323], |               |
|             |              |               |           [325-365], |               |
|             |              |               |           [367-413], |               |
|             |              |               |           [416-466], |               |
|             |              |               |           [468-643], |               |
|             |              |               |           [646-918], |               |
|             |              |               |          [920-1011], |               |
|             |              |               |         [1013-1175], |               |
|             |              |               |         [1178-1236], |               |
|             |              |               |          [1239-1277] |               |
| 199008:2847 |          558 |  62.448 (/pb) |   [75-93], [95-121], |  61.368 (/pb) |
|             |              |               |           [124-208], |               |
|             |              |               |           [211-331], |               |
|             |              |               |           [333-373], |               |
|             |              |               |           [376-482], |               |
|             |              |               | [485-605], [608-644] |               |
| 199011:2847 |           26 |   2.137 (/pb) |      [1-11], [13-27] |   2.118 (/pb) |
| 199021:2848 |         1420 | 129.077 (/pb) |   [59-88], [91-128], | 127.425 (/pb) |
|             |              |               |           [130-133], |               |
|             |              |               |           [136-309], |               |
|             |              |               |           [311-333], |               |
|             |              |               |           [335-410], |               |
|             |              |               |           [414-469], |               |
|             |              |               |           [471-533], |               |
|             |              |               |           [535-563], |               |
|             |              |               |          [565-1223], |               |
|             |              |               |         [1226-1479], |               |
|             |              |               |          [1481-1494] |               |
| 199318:2858 |           74 |  10.525 (/pb) |             [65-138] |  10.181 (/pb) |
| 199319:2858 |          973 | 100.172 (/pb) |      [1-7], [9-223], |  98.668 (/pb) |
|             |              |               |           [226-277], |               |
|             |              |               |           [280-348], |               |
|             |              |               |           [351-358], |               |
|             |              |               |           [360-422], |               |
|             |              |               |           [424-490], |               |
|             |              |               |           [492-493], |               |
|             |              |               |           [496-612], |               |
|             |              |               |           [615-642], |               |
|             |              |               |           [645-720], |               |
|             |              |               |           [723-728], |               |
|             |              |               |           [730-731], |               |
|             |              |               |           [734-741], |               |
|             |              |               | [744-943], [945-997] |               |
| 199336:2858 |          968 |  62.690 (/pb) |    [1-33], [36-122], |  62.220 (/pb) |
|             |              |               |           [125-231], |               |
|             |              |               |           [234-614], |               |
|             |              |               | [617-789], [791-977] |               |
| 199356:2861 |          134 |  17.625 (/pb) | [95-121], [123-168], |  17.324 (/pb) |
|             |              |               | [171-205], [208-233] |               |
| 199409:2870 |         1267 | 113.038 (/pb) |    [25-54], [56-89], | 111.667 (/pb) |
|             |              |               | [91-204], [206-290], |               |
|             |              |               |           [293-583], |               |
|             |              |               |           [586-602], |               |
|             |              |               |          [604-1014], |               |
|             |              |               |          [1016-1300] |               |
| 199428:2871 |          575 |  62.200 (/pb) | [61-197], [200-210], |  61.178 (/pb) |
|             |              |               |           [212-382], |               |
|             |              |               |           [387-414], |               |
|             |              |               |           [417-436], |               |
|             |              |               | [439-530], [533-648] |               |
| 199429:2871 |          148 |  12.449 (/pb) |     [1-28], [30-36], |  12.310 (/pb) |
|             |              |               |   [39-55], [58-101], |               |
|             |              |               | [103-148], [151-156] |               |
| 199435:2872 |         1527 | 129.696 (/pb) | [63-106], [109-261], | 128.103 (/pb) |
|             |              |               |           [263-579], |               |
|             |              |               |           [582-654], |               |
|             |              |               |           [656-696], |               |
|             |              |               |          [699-1034], |               |
|             |              |               |         [1037-1144], |               |
|             |              |               |         [1147-1327], |               |
|             |              |               |         [1330-1411], |               |
|             |              |               |         [1414-1431], |               |
|             |              |               |         [1434-1441], |               |
|             |              |               |         [1444-1487], |               |
|             |              |               |          [1489-1610] |               |
| 199436:2872 |          742 |  37.383 (/pb) |  [1-113], [116-254], |  37.076 (/pb) |
|             |              |               | [257-675], [678-748] |               |
| 199564:2873 |            3 | 401.355 (/nb) |                [1-3] | 391.102 (/nb) |
| 199569:2873 |          363 |  36.667 (/pb) |      [1-2], [5-136], |  36.206 (/pb) |
|             |              |               |            [139-367] |               |
| 199570:2873 |           17 |   1.535 (/pb) |               [1-17] |   1.466 (/pb) |
| 199571:2873 |          558 |  44.087 (/pb) |  [1-184], [186-360], |  43.485 (/pb) |
|             |              |               |            [363-561] |               |
| 199572:2873 |          317 |  20.689 (/pb) |              [1-317] |  20.441 (/pb) |
| 199573:2873 |           22 |   1.340 (/pb) |               [1-22] |   1.314 (/pb) |
| 199574:2873 |          242 |  13.949 (/pb) |    [1-53], [56-153], |  13.858 (/pb) |
|             |              |               |            [156-246] |               |
| 199608:2875 |         2343 | 172.773 (/pb) | [60-157], [159-209], | 171.035 (/pb) |
|             |              |               |           [211-341], |               |
|             |              |               |           [344-390], |               |
|             |              |               |           [392-461], |               |
|             |              |               |           [464-800], |               |
|             |              |               |          [802-1064], |               |
|             |              |               |         [1067-1392], |               |
|             |              |               |         [1395-1630], |               |
|             |              |               |         [1633-1904], |               |
|             |              |               |         [1907-1962], |               |
|             |              |               |         [1965-2252], |               |
|             |              |               |          [2255-2422] |               |
| 199698:2880 |           55 |   6.676 (/pb) |    [72-94], [96-127] |   6.544 (/pb) |
| 199699:2880 |          751 |  70.370 (/pb) |  [1-154], [157-169], |  69.415 (/pb) |
|             |              |               | [172-410], [412-756] |               |
| 199703:2880 |          535 |  34.130 (/pb) |    [1-94], [97-482], |  33.869 (/pb) |
|             |              |               |            [485-539] |               |
| 199739:2882 |          109 |   8.483 (/pb) |             [66-174] |   8.363 (/pb) |
| 199745:2883 |            7 |  42.466 (/nb) |            [137-143] |  41.354 (/nb) |
| 199751:2884 |           24 |   2.969 (/pb) | [103-119], [121-127] |   2.858 (/pb) |
| 199752:2884 |          316 |  33.670 (/pb) |  [1-141], [144-180], |  33.042 (/pb) |
|             |              |               |           [182-186], |               |
|             |              |               | [188-211], [214-322] |               |
| 199753:2884 |           59 |   5.603 (/pb) |               [1-59] |   5.486 (/pb) |
| 199754:2884 |          990 |  70.838 (/pb) |  [1-203], [205-325], |  70.129 (/pb) |
|             |              |               |           [328-457], |               |
|             |              |               |           [459-607], |               |
|             |              |               |           [610-613], |               |
|             |              |               | [615-806], [808-998] |               |
| 199804:2886 |          549 |  58.585 (/pb) |   [78-88], [90-181], |  57.906 (/pb) |
|             |              |               |           [183-235], |               |
|             |              |               |           [238-278], |               |
|             |              |               |           [281-290], |               |
|             |              |               |           [292-519], |               |
|             |              |               |           [522-575], |               |
|             |              |               | [577-628], [631-638] |               |
| 199812:2887 |          694 |  72.069 (/pb) | [70-141], [144-163], |  71.041 (/pb) |
|             |              |               |           [187-211], |               |
|             |              |               |           [214-471], |               |
|             |              |               |           [474-505], |               |
|             |              |               |           [508-557], |               |
|             |              |               |           [560-571], |               |
|             |              |               |           [574-623], |               |
|             |              |               | [626-751], [754-802] |               |
| 199833:2888 |         1227 | 104.995 (/pb) |    [1-13], [16-103], | 103.406 (/pb) |
|             |              |               |           [105-250], |               |
|             |              |               |           [253-493], |               |
|             |              |               |           [496-794], |               |
|             |              |               |          [797-1032], |               |
|             |              |               |         [1034-1185], |               |
|             |              |               |          [1188-1239] |               |
| 199862:2891 |           84 |  11.281 (/pb) |             [59-142] |  10.852 (/pb) |
| 199864:2891 |          478 |  52.640 (/pb) |     [1-87], [89-89], |  51.605 (/pb) |
|             |              |               | [92-103], [106-372], |               |
|             |              |               | [374-385], [388-486] |               |
| 199867:2891 |          316 |  27.522 (/pb) |  [1-134], [136-172], |  27.131 (/pb) |
|             |              |               | [174-218], [221-320] |               |
| 199868:2891 |           26 |   1.593 (/pb) |               [1-26] |   1.579 (/pb) |
| 199875:2892 |          264 |  33.304 (/pb) |  [70-150], [152-334] |  32.019 (/pb) |
| 199876:2892 |          366 |  36.910 (/pb) |     [1-19], [22-95], |  36.479 (/pb) |
|             |              |               | [97-249], [252-272], |               |
|             |              |               |           [274-340], |               |
|             |              |               | [343-362], [365-376] |               |
| 199877:2892 |          870 |  63.549 (/pb) |  [1-173], [175-605], |  62.995 (/pb) |
|             |              |               | [607-701], [703-873] |               |
| 199960:2893 |          397 |  46.735 (/pb) | [72-139], [141-197], |  46.087 (/pb) |
|             |              |               |           [204-232], |               |
|             |              |               |           [235-363], |               |
|             |              |               |           [365-367], |               |
|             |              |               |           [370-380], |               |
|             |              |               |           [383-459], |               |
|             |              |               | [461-466], [469-485] |               |
| 199961:2893 |          291 |  26.829 (/pb) |   [1-211], [213-292] |  26.491 (/pb) |
| 199973:2896 |           24 |   2.254 (/pb) |              [73-96] |   2.190 (/pb) |
| 200041:2898 |         1012 | 100.223 (/pb) |   [62-83], [85-157], |  98.864 (/pb) |
|             |              |               |           [162-274], |               |
|             |              |               |           [277-318], |               |
|             |              |               |           [321-335], |               |
|             |              |               |           [337-386], |               |
|             |              |               |           [388-389], |               |
|             |              |               |           [392-400], |               |
|             |              |               |           [402-568], |               |
|             |              |               |           [571-593], |               |
|             |              |               |           [595-646], |               |
|             |              |               |           [649-728], |               |
|             |              |               |           [731-860], |               |
|             |              |               |           [862-930], |               |
|             |              |               |           [932-1096] |               |
| 200042:2898 |          535 |  32.655 (/pb) |   [1-110], [112-536] |  32.364 (/pb) |
| 200049:2898 |          177 |   8.737 (/pb) |              [1-177] |   8.690 (/pb) |
| 200075:2900 |          498 |  56.167 (/pb) | [76-139], [142-232], |  55.470 (/pb) |
|             |              |               |           [256-326], |               |
|             |              |               |           [329-422], |               |
|             |              |               |           [425-431], |               |
|             |              |               | [434-500], [502-605] |               |
| 200091:2902 |         1611 | 141.955 (/pb) |   [67-67], [70-151], | 140.318 (/pb) |
|             |              |               |           [154-172], |               |
|             |              |               |           [174-187], |               |
|             |              |               |           [190-196], |               |
|             |              |               |           [199-201], |               |
|             |              |               |           [204-425], |               |
|             |              |               |           [428-535], |               |
|             |              |               |           [537-607], |               |
|             |              |               |           [610-879], |               |
|             |              |               |           [881-943], |               |
|             |              |               |           [946-999], |               |
|             |              |               |         [1001-1025], |               |
|             |              |               |         [1027-1132], |               |
|             |              |               |         [1135-1339], |               |
|             |              |               |         [1341-1433], |               |
|             |              |               |         [1435-1450], |               |
|             |              |               |         [1453-1523], |               |
|             |              |               |         [1526-1664], |               |
|             |              |               |         [1667-1680], |               |
|             |              |               |          [1683-1710] |               |
| 200152:2905 |           79 |   5.560 (/pb) |             [74-152] |   5.393 (/pb) |
| 200180:2908 |           18 |   2.230 (/pb) |               [1-18] |   2.177 (/pb) |
| 200188:2908 |          344 |  35.304 (/pb) |     [1-24], [27-28], |  34.805 (/pb) |
|             |              |               |   [31-76], [79-271], |               |
|             |              |               |            [274-352] |               |
| 200190:2908 |          858 |  63.771 (/pb) |       [1-4], [6-76], |  62.907 (/pb) |
|             |              |               | [79-143], [146-159], |               |
|             |              |               |           [162-256], |               |
|             |              |               |           [258-321], |               |
|             |              |               |           [324-401], |               |
|             |              |               |           [403-453], |               |
|             |              |               |           [456-457], |               |
|             |              |               |           [460-565], |               |
|             |              |               |           [567-588], |               |
|             |              |               |           [591-591], |               |
|             |              |               |           [593-595], |               |
|             |              |               | [597-646], [649-880] |               |
| 200229:2911 |          612 |  50.013 (/pb) |    [1-33], [41-219], |  49.249 (/pb) |
|             |              |               |           [222-244], |               |
|             |              |               |           [247-290], |               |
|             |              |               |           [293-531], |               |
|             |              |               | [534-624], [627-629] |               |
| 200243:2912 |           69 |   9.777 (/pb) |  [69-103], [106-139] |   9.492 (/pb) |
| 200244:2912 |          611 |  68.330 (/pb) |  [3-304], [307-442], |  67.231 (/pb) |
|             |              |               | [445-507], [510-619] |               |
| 200245:2912 |          352 |  29.154 (/pb) |  [1-103], [105-128], |  28.887 (/pb) |
|             |              |               | [131-248], [251-357] |               |
| 200368:2918 |          109 |  10.439 (/pb) |             [72-180] |  10.251 (/pb) |
| 200369:2918 |          675 |  52.856 (/pb) |       [1-5], [8-61], |  52.280 (/pb) |
|             |              |               | [64-360], [363-439], |               |
|             |              |               |           [441-578], |               |
|             |              |               |           [580-603], |               |
|             |              |               | [606-684], [686-686] |               |
| 200381:2920 |          187 |  25.056 (/pb) |     [8-15], [18-36], |  24.594 (/pb) |
|             |              |               |    [38-89], [91-198] |               |
| 200466:2926 |          141 |   6.046 (/pb) |            [134-274] |   5.922 (/pb) |
| 200473:2927 |         1213 | 100.707 (/pb) | [96-157], [159-224], |  99.730 (/pb) |
|             |              |               |           [226-304], |               |
|             |              |               |           [306-469], |               |
|             |              |               |           [472-524], |               |
|             |              |               |           [527-542], |               |
|             |              |               |           [545-619], |               |
|             |              |               |           [622-688], |               |
|             |              |               |           [691-730], |               |
|             |              |               |           [733-738], |               |
|             |              |               |           [740-1324] |               |
| 200491:2928 |          346 |  40.243 (/pb) | [87-107], [110-149], |  39.498 (/pb) |
|             |              |               |           [152-157], |               |
|             |              |               |           [160-197], |               |
|             |              |               |           [199-237], |               |
|             |              |               |           [240-270], |               |
|             |              |               |           [273-273], |               |
|             |              |               |           [276-334], |               |
|             |              |               | [336-360], [363-448] |               |
| 200515:2929 |           87 |  12.434 (/pb) |             [97-183] |  12.044 (/pb) |
| 200519:2929 |          745 |  76.594 (/pb) |  [1-111], [114-126], |  75.552 (/pb) |
|             |              |               |           [129-136], |               |
|             |              |               |           [138-224], |               |
|             |              |               |           [227-258], |               |
|             |              |               |           [261-350], |               |
|             |              |               | [353-611], [613-757] |               |
| 200525:2932 |          896 |  96.986 (/pb) | [77-149], [151-164], |  95.458 (/pb) |
|             |              |               |           [166-190], |               |
|             |              |               |           [193-276], |               |
|             |              |               |           [278-311], |               |
|             |              |               |           [314-464], |               |
|             |              |               |           [467-488], |               |
|             |              |               |           [491-674], |               |
|             |              |               |           [676-704], |               |
|             |              |               |           [707-755], |               |
|             |              |               |           [757-895], |               |
|             |              |               | [898-937], [939-990] |               |
| 200532:2932 |           59 |   2.923 (/pb) |               [1-59] |   2.897 (/pb) |
| 200599:2934 |           61 |   8.880 (/pb) |  [75-129], [132-137] |   8.548 (/pb) |
| 200600:2934 |         1118 | 111.356 (/pb) |  [1-183], [186-299], | 109.659 (/pb) |
|             |              |               |           [302-313], |               |
|             |              |               |           [316-324], |               |
|             |              |               |           [327-334], |               |
|             |              |               |           [336-397], |               |
|             |              |               |           [399-417], |               |
|             |              |               |           [420-526], |               |
|             |              |               |           [529-591], |               |
|             |              |               |           [594-609], |               |
|             |              |               |           [611-660], |               |
|             |              |               |           [663-823], |               |
|             |              |               |           [826-900], |               |
|             |              |               |           [902-943], |               |
|             |              |               |          [945-1139], |               |
